#LB_label,#LA_label,#ID,ChargeTransfer,la_nB,nO,la_C-026,la_nHAcc,C-041,la_AMW,AMW,la_Mv,nPyrroles,TPSA(NO),la_Me,nRSR,nCt,nHDon,C-035,nPyridines,C-006,Total_MW,nCIR,la_nH,nBT,nR=Cs,la_Mp,nRNHR,nRCONR2,C-020,nCrt,RBN,C-033,nRNH2,Ui,nArNH2,H-051,nC,nR=Ct,nPyrazines,nCL,F-085,C-002,H-047,nBnz,ALOGP,AMR,nR08,nR12,nR09,C-005,C-027,C-028,C-019,C-016,la_nBT,la_H-050,la_Hy,la_nCL,la_nBO,la_F-084,la_nX,la_nSK,MW,la_nBnz,la_ARR,la_nC,la_nHM,la_MLOGP,la_Ms,la_nAT,la_nAB,la_nBM
2,2,C8H7NO2S:AlH3,-0.07844,0,2,0,0,0,7.5,9.54,0.63,0,39.07,0.86,0,0,0,0,0,0,211.24,3,3,20,0,1.25,0,0,0,0,0,1,0,3.0,0,0,8,0,0,0,0,0,3,0,1.302,47.091,1,0,0,1,0,0,0,0,3,3,0.0,0,0,0,0,1,181.23,0,0.0,0,1,-1.041,2.0,4,0,0
2,3,C8H7NO2S:C18F15Al,-0.12638,0,2,15,15,0,15.53,9.54,0.76,0,39.07,1.19,0,0,0,0,0,0,709.39,3,0,20,0,0.78,0,0,0,0,0,1,0,3.0,0,0,8,0,0,0,0,0,3,0,1.302,47.091,1,0,0,1,0,0,0,0,36,0,-0.525,0,36,15,15,34,181.23,3,0.5,18,1,7.875,4.43,34,18,18
2,4,C8H7NO2S:C3H9Al,-0.07512,0,2,0,0,0,5.55,9.54,0.56,0,39.07,0.93,0,0,0,0,0,0,253.33,3,9,20,0,0.79,0,0,0,0,0,1,0,3.0,0,0,8,0,0,0,0,0,3,0,1.302,47.091,1,0,0,1,0,0,0,0,12,0,-0.646,0,3,0,0,4,181.23,0,0.0,3,1,1.364,1.69,13,0,0
2,5,C8H7NO2S:C2H5AlCl2,-0.11008,0,2,0,0,0,12.7,9.54,0.71,0,39.07,0.99,0,0,0,0,0,0,308.18,3,5,20,0,1.02,0,0,0,0,0,1,0,3.0,0,0,8,0,0,0,0,0,3,0,1.302,47.091,1,0,0,1,0,0,0,0,9,0,-0.359,2,4,0,2,5,181.23,0,0.0,2,1,1.817,2.5,10,0,0
2,6,C8H7NO2S:BH3,-0.26422,1,2,0,0,0,3.46,9.54,0.42,0,39.07,0.91,0,0,0,0,0,0,195.07,3,3,20,0,0.72,0,0,0,0,0,1,0,3.0,0,0,8,0,0,0,0,0,3,0,1.302,47.091,1,0,0,1,0,0,0,0,3,3,0.0,0,0,0,0,1,181.23,0,0.0,0,0,-1.041,2.0,4,0,0
2,7,C8H7NO2S:BF3,-0.14992,1,2,0,3,0,16.95,9.54,0.51,0,39.07,1.3,0,0,0,0,0,0,249.04,3,0,20,0,0.67,0,0,0,0,0,1,0,3.0,0,0,8,0,0,0,0,0,3,0,1.302,47.091,1,0,0,1,0,0,0,0,3,0,0.0,0,3,0,3,4,181.23,0,0.0,0,0,0.546,6.33,4,0,0
2,8,C8H7NO2S:BCl3,-0.25678,1,2,0,0,0,29.29,9.54,0.95,0,39.07,1.16,0,0,0,0,0,0,298.39,3,0,20,0,1.36,0,0,0,0,0,1,0,3.0,0,0,8,0,0,0,0,0,3,0,1.302,47.091,1,0,0,1,0,0,0,0,3,0,0.0,3,3,0,3,4,181.23,0,0.0,0,0,1.364,3.42,4,0,0
2,9,C8H7NO2S:BBr3,-0.25028,1,2,0,0,0,62.63,9.54,1.24,0,39.07,1.09,0,0,0,0,0,0,431.74,3,0,20,0,1.73,0,0,0,0,0,1,0,3.0,0,0,8,0,0,0,0,0,3,0,1.302,47.091,1,0,0,1,0,0,0,0,3,0,0.0,0,3,0,3,4,181.23,0,0.0,0,0,2.026,2.4,4,0,0
2,11,C8H7NO2S:BI3,-0.19442,1,2,0,0,0,97.88,9.54,1.49,0,39.07,0.97,0,0,0,0,0,0,572.74,3,0,20,0,2.71,0,0,0,0,0,1,0,3.0,0,0,8,0,0,0,0,0,3,0,1.302,47.091,1,0,0,1,0,0,0,0,3,0,0.0,0,3,0,3,4,181.23,0,0.0,0,0,2.604,1.92,4,0,0
2,12,C8H7NO2S:O2S,-0.0223,0,2,0,2,0,21.36,9.54,0.7,0,39.07,1.24,0,0,0,0,0,0,245.3,3,0,20,0,0.85,0,0,0,0,0,1,0,3.0,0,0,8,0,0,0,0,0,3,0,1.302,47.091,1,0,0,1,0,0,0,0,2,0,0.0,0,2,0,0,3,181.23,0,0.0,0,0,-2.379,5.28,3,0,2
3,1,C7H8N2O2S:AlCl3,-0.10326,0,2,0,0,1,33.33,9.21,1.16,0,44.0,1.1,0,0,0,0,0,0,317.57,1,0,20,0,1.89,0,0,0,0,0,0,0,2.322,0,0,7,1,0,0,0,0,8,0,0.741,48.137,0,0,0,2,0,0,0,0,3,0,0.0,3,3,0,3,4,184.24,0,0.0,0,1,1.364,3.28,4,0,0
3,2,C7H8N2O2S:AlH3,-0.0681,0,2,0,0,1,7.5,9.21,0.63,0,44.0,0.86,0,0,0,0,0,0,214.25,1,3,20,0,1.25,0,0,0,0,0,0,0,2.322,0,0,7,1,0,0,0,0,8,0,0.741,48.137,0,0,0,2,0,0,0,0,3,3,0.0,0,0,0,0,1,184.24,0,0.0,0,1,-1.041,2.0,4,0,0
3,3,C7H8N2O2S:C18F15Al,-0.201,0,2,15,15,1,15.53,9.21,0.76,0,44.0,1.19,0,0,0,0,0,0,712.4,1,0,20,0,0.78,0,0,0,0,0,0,0,2.322,0,0,7,1,0,0,0,0,8,0,0.741,48.137,0,0,0,2,0,0,0,0,36,0,-0.525,0,36,15,15,34,184.24,3,0.5,18,1,7.875,4.43,34,18,18
3,5,C7H8N2O2S:C2H5AlCl2,-0.08494,0,2,0,0,1,12.7,9.21,0.71,0,44.0,0.99,0,0,0,0,0,0,311.19,1,5,20,0,1.02,0,0,0,0,0,0,0,2.322,0,0,7,1,0,0,0,0,8,0,0.741,48.137,0,0,0,2,0,0,0,0,9,0,-0.359,2,4,0,2,5,184.24,0,0.0,2,1,1.817,2.5,10,0,0
