#LB_label,#LA_label,#ID,ChargeTransfer,la_Me,la_nB,nO,la_nHM,la_Ui,la_nHAcc,la_AMW,C-041,AMW,nPyrroles,la_Mv,TPSA(NO),la_nF,nRSR,nCt,nHDon,C-033,nPyridines,C-006,la_nX,la_Ms,H-051,nX,la_MW,la_Mp,la_nAB,nF,C-027,nPyrazines,la_C-026,nCIC,ARR,H-049,nArNH2,nH,RBF,la_F-084,nRCO,nCrt,Total_MW,la_nBM,la_nBnz,la_LAI,la_ARR,la_RBF
2,7,C8H7NO2S:BF3,-0.14992,1.3,1,2,0,0.0,3,16.95,0,9.54,0,0.51,39.07,3,0,0,0,1,0,0,3,6.33,0,0,67.81,0.67,0,0,0,0,0,2,0.385,0,0,7,0.0,0,0,0,249.04,0,0,0,0.0,0.0
2,8,C8H7NO2S:BCl3,-0.25678,1.16,1,2,0,0.0,0,29.29,0,9.54,0,0.95,39.07,0,0,0,0,1,0,0,3,3.42,0,0,117.16,1.36,0,0,0,0,0,2,0.385,0,0,7,0.0,0,0,0,298.39,0,0,0,0.0,0.0
2,9,C8H7NO2S:BBr3,-0.25028,1.09,1,2,0,0.0,0,62.63,0,9.54,0,1.24,39.07,0,0,0,0,1,0,0,3,2.4,0,0,250.51,1.73,0,0,0,0,0,2,0.385,0,0,7,0.0,0,0,0,431.74,0,0,0,0.0,0.0
2,11,C8H7NO2S:BI3,-0.19442,0.97,1,2,0,0.0,0,97.88,0,9.54,0,1.49,39.07,0,0,0,0,1,0,0,3,1.92,0,0,391.51,2.71,0,0,0,0,0,2,0.385,0,0,7,0.0,0,0,0,572.74,0,0,0,0.0,0.0
2,12,C8H7NO2S:O2S,-0.0223,1.24,0,2,0,1.585,2,21.36,0,9.54,0,0.7,39.07,0,0,0,0,1,0,0,0,5.28,0,0,64.07,0.85,0,0,0,0,0,2,0.385,0,0,7,0.0,0,0,0,245.3,2,0,0,0.0,0.0
3,1,C7H8N2O2S:AlCl3,-0.10326,1.1,0,2,1,0.0,0,33.33,1,9.21,0,1.16,44.0,0,0,0,0,0,0,0,3,3.28,0,0,133.33,1.89,0,0,0,0,0,1,0.0,0,0,8,0.0,0,0,0,317.57,0,0,0,0.0,0.0
3,2,C7H8N2O2S:AlH3,-0.0681,0.86,0,2,1,0.0,0,7.5,1,9.21,0,0.63,44.0,0,0,0,0,0,0,0,0,2.0,0,0,30.01,1.25,0,0,0,0,0,1,0.0,0,0,8,0.0,0,0,0,214.25,0,0,0,0.0,0.0
3,3,C7H8N2O2S:C18F15Al,-0.201,1.19,0,2,1,4.248,15,15.53,1,9.21,0,0.76,44.0,15,0,0,0,0,0,0,15,4.43,0,0,528.16,0.78,18,0,0,0,15,1,0.0,0,0,8,0.0,15,0,0,712.4,18,3,1,0.5,0.083
3,5,C7H8N2O2S:C2H5AlCl2,-0.08494,0.99,0,2,1,0.0,0,12.7,1,9.21,0,0.71,44.0,0,0,0,0,0,0,0,2,2.5,0,0,126.95,1.02,0,0,0,0,0,1,0.0,0,0,8,0.0,0,0,0,311.19,0,0,0,0.0,0.0
3,6,C7H8N2O2S:BH3,-0.22192,0.91,1,2,0,0.0,0,3.46,1,9.21,0,0.42,44.0,0,0,0,0,0,0,0,0,2.0,0,0,13.84,0.72,0,0,0,0,0,1,0.0,0,0,8,0.0,0,0,0,198.08,0,0,0,0.0,0.0
3,7,C7H8N2O2S:BF3,0.00218,1.3,1,2,0,0.0,3,16.95,1,9.21,0,0.51,44.0,3,0,0,0,0,0,0,3,6.33,0,0,67.81,0.67,0,0,0,0,0,1,0.0,0,0,8,0.0,0,0,0,252.05,0,0,0,0.0,0.0
3,8,C7H8N2O2S:BCl3,-0.0014,1.16,1,2,0,0.0,0,29.29,1,9.21,0,0.95,44.0,0,0,0,0,0,0,0,3,3.42,0,0,117.16,1.36,0,0,0,0,0,1,0.0,0,0,8,0.0,0,0,0,301.4,0,0,0,0.0,0.0
3,11,C7H8N2O2S:BI3,0.01072,0.97,1,2,0,0.0,0,97.88,1,9.21,0,1.49,44.0,0,0,0,0,0,0,0,3,1.92,0,0,391.51,2.71,0,0,0,0,0,1,0.0,0,0,8,0.0,0,0,0,575.75,0,0,0,0.0,0.0
4,1,C10H16N2O2:AlCl3,-0.13576,1.1,0,2,1,0.0,0,33.33,0,6.54,0,1.16,40.62,0,0,2,0,0,0,0,3,3.28,2,0,133.33,1.89,0,0,0,0,0,2,0.0,0,0,16,0.0,0,0,2,329.61,0,0,0,0.0,0.0
4,2,C10H16N2O2:AlH3,-0.10774,0.86,0,2,1,0.0,0,7.5,0,6.54,0,0.63,40.62,0,0,2,0,0,0,0,0,2.0,2,0,30.01,1.25,0,0,0,0,0,2,0.0,0,0,16,0.0,0,0,2,226.29,0,0,0,0.0,0.0
4,3,C10H16N2O2:C18F15Al,-0.13932,1.19,0,2,1,4.248,15,15.53,0,6.54,0,0.76,40.62,15,0,2,0,0,0,0,15,4.43,2,0,528.16,0.78,18,0,0,0,15,2,0.0,0,0,16,0.0,15,0,2,724.44,18,3,1,0.5,0.083
4,4,C10H16N2O2:C3H9Al,-0.08454,0.93,0,2,1,0.0,0,5.55,0,6.54,0,0.56,40.62,0,0,2,0,0,0,0,0,1.69,2,0,72.1,0.79,0,0,0,0,0,2,0.0,0,0,16,0.0,0,0,2,268.38,0,0,0,0.0,0.0
4,5,C10H16N2O2:C2H5AlCl2,-0.12194,0.99,0,2,1,0.0,0,12.7,0,6.54,0,0.71,40.62,0,0,2,0,0,0,0,2,2.5,2,0,126.95,1.02,0,0,0,0,0,2,0.0,0,0,16,0.0,0,0,2,323.23,0,0,0,0.0,0.0
4,6,C10H16N2O2:BH3,-0.28116,0.91,1,2,0,0.0,0,3.46,0,6.54,0,0.42,40.62,0,0,2,0,0,0,0,0,2.0,2,0,13.84,0.72,0,0,0,0,0,2,0.0,0,0,16,0.0,0,0,2,210.12,0,0,0,0.0,0.0
4,7,C10H16N2O2:BF3,-0.21876,1.3,1,2,0,0.0,3,16.95,0,6.54,0,0.51,40.62,3,0,2,0,0,0,0,3,6.33,2,0,67.81,0.67,0,0,0,0,0,2,0.0,0,0,16,0.0,0,0,2,264.09,0,0,0,0.0,0.0
4,8,C10H16N2O2:BCl3,-0.28102,1.16,1,2,0,0.0,0,29.29,0,6.54,0,0.95,40.62,0,0,2,0,0,0,0,3,3.42,2,0,117.16,1.36,0,0,0,0,0,2,0.0,0,0,16,0.0,0,0,2,313.44,0,0,0,0.0,0.0
4,9,C10H16N2O2:BBr3,-0.27182,1.09,1,2,0,0.0,0,62.63,0,6.54,0,1.24,40.62,0,0,2,0,0,0,0,3,2.4,2,0,250.51,1.73,0,0,0,0,0,2,0.0,0,0,16,0.0,0,0,2,446.79,0,0,0,0.0,0.0
4,10,C10H16N2O2:C18BF15,-0.30786,1.2,1,2,0,4.248,15,15.06,0,6.54,0,0.73,40.62,15,0,2,0,0,0,0,15,4.45,2,0,511.99,0.72,18,0,0,0,18,2,0.0,0,0,16,0.0,15,0,2,708.27,18,3,1,0.5,0.083
4,11,C10H16N2O2:BI3,-0.23758,0.97,1,2,0,0.0,0,97.88,0,6.54,0,1.49,40.62,0,0,2,0,0,0,0,3,1.92,2,0,391.51,2.71,0,0,0,0,0,2,0.0,0,0,16,0.0,0,0,2,587.79,0,0,0,0.0,0.0
4,12,C10H16N2O2:O2S,-0.07768,1.24,0,2,0,1.585,2,21.36,0,6.54,0,0.7,40.62,0,0,2,0,0,0,0,0,5.28,2,0,64.07,0.85,0,0,0,0,0,2,0.0,0,0,16,0.0,0,0,2,260.35,2,0,0,0.0,0.0
5,1,C9H9N3OS:AlCl3,-0.11056,1.1,0,1,1,0.0,0,33.33,0,9.01,0,1.16,67.89,0,1,1,0,0,0,0,3,3.28,1,0,133.33,1.89,0,0,0,0,0,1,0.0,0,0,9,0.087,0,0,0,340.61,0,0,0,0.0,0.0
5,2,C9H9N3OS:AlH3,-0.1036,0.86,0,1,1,0.0,0,7.5,0,9.01,0,0.63,67.89,0,1,1,0,0,0,0,0,2.0,1,0,30.01,1.25,0,0,0,0,0,1,0.0,0,0,9,0.087,0,0,0,237.29,0,0,0,0.0,0.0
5,3,C9H9N3OS:C18F15Al,-0.11854,1.19,0,1,1,4.248,15,15.53,0,9.01,0,0.76,67.89,15,1,1,0,0,0,0,15,4.43,1,0,528.16,0.78,18,0,0,0,15,1,0.0,0,0,9,0.087,15,0,0,735.44,18,3,1,0.5,0.083
