#LB_label,ChargeTransfer,MW,AMW,Mv,Me,Mp,Ms,nAT,nSK,nBT,nBO,nBM,SCBO,ARR,nCIC,nCIR,RBN,RBF,nDB,nAB,nH,nC,nN,nO,nS,nF,nCL,nX,nR05,nR06,nR08,nR09,nR10,nR12,nBnz,nCp,nCs,nCt,nCq,nCrt,nCar,nCbH,nCb-,nCconj,nR=Cp,nR=Cs,nR=Ct,nRCONHR,nRCONR2,nROCON,nRCO,nArCO,nCONN,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nRCN,nN(CO)2,nRSR,nArX,nCXr=,nCconjX,nPyrrolidines,nPyrroles,nThiophenes,nPyridines,nPyrazines,nHDon,nHAcc,C-001,C-002,C-005,C-006,C-008,C-016,C-018,C-019,C-020,C-024,C-025,C-026,C-027,C-028,C-033,C-034,C-035,C-040,C-041,H-046,H-047,H-048,H-049,H-051,H-052,N-072,N-075,F-084,F-085,S-107,S-108,Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,ALOGP
42,-0.26878,358.51,10.54,0.75,1.01,0.81,2.16,34,23,38,27,20,37,0.741,5,9,1,0.026,0,20,11,17,2,0,3,1,0,1,4,1,2,1,0,0,1,2,0,0,1,0,14,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,4,3,1,0,2,1,3,0,0,0,6,4,1,0,0,0,0,2,1,0,3,0,4.392,-0.729,99.316,25.78,110.5,4.716,6.001
43,-0.26434,254.3,12.71,0.78,1.06,0.84,2.73,20,16,22,18,15,25.5,0.833,3,4,1,0.045,0,15,4,10,2,0,2,2,0,2,2,1,0,1,0,0,1,0,0,0,0,0,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,3,1,2,0,2,1,1,0,0,0,0,3,1,0,0,0,0,2,2,0,2,0,4,-0.612,62.981,25.78,82.26,2.921,3.841
44,-0.268,376.5,11.07,0.75,1.03,0.81,2.39,34,24,38,28,20,38,0.714,5,9,1,0.026,0,20,10,17,2,0,3,2,0,2,4,1,2,1,0,0,1,2,0,0,1,0,14,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,3,3,2,0,2,1,3,0,0,0,6,3,1,0,0,0,0,2,2,0,3,0,4.392,-0.699,99.532,25.78,110.5,4.835,6.207
45,-0.18884,67.1,6.71,0.62,0.99,0.65,2.1,10,5,10,5,5,7.5,1,1,1,0,0,0,5,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2.585,0.132,20.817,15.79,15.79,0.156,0.924
46,-0.1981,81.13,6.24,0.6,0.98,0.64,2,13,6,13,6,5,8.5,0.833,1,1,0,0,0,5,7,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,2.585,-0.767,25.714,4.93,4.93,0.565,1.13
47,-0.26432,81.13,6.24,0.6,0.98,0.64,2,13,6,13,6,2,8,0,1,1,0,0,2,0,7,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1.585,0.004,27.022,12.03,12.03,0.565,-0.071
48,-0.258,95.16,5.95,0.59,0.98,0.63,1.93,16,7,16,7,2,9,0,1,1,0,0,2,0,9,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,1.585,-0.802,32.316,3.24,3.24,0.943,0.465
49,-0.2296,95.16,5.95,0.59,0.98,0.63,1.98,16,7,16,7,5,9.5,0.714,1,1,0,0,0,5,9,6,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,2.585,-0.088,30.499,15.79,15.79,0.943,1.215
50,-0.01534,103.08,10.31,0.64,1.09,0.64,3.69,10,7,10,7,5,9.5,0.714,1,1,0,0,0,5,3,4,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2.585,0.18,21.159,15.79,15.79,1.101,1.268
51,-0.22918,109.19,5.75,0.58,0.97,0.62,1.92,19,8,19,8,5,10.5,0.625,1,1,0,0,0,5,11,7,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,2.585,-0.828,35.396,4.93,4.93,1.296,1.421
53,-0.26738,109.19,5.75,0.58,0.97,0.62,1.92,19,8,19,8,2,10,0,1,1,0,0,2,0,11,7,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,0,0,0,0,0,0,1.585,-0.158,38.659,12.03,12.03,1.296,0.957
54,-0.19046,117.11,9.01,0.62,1.06,0.63,3.42,13,8,13,8,2,10,0,1,1,0,0,2,0,5,5,1,0,0,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,1.585,0.079,27.622,12.03,12.03,0.943,1.388
55,-0.25744,123.22,5.6,0.57,0.97,0.62,1.87,22,9,22,9,2,11,0,1,1,0,0,2,0,13,8,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,6,0,0,0,0,0,0,1.585,-0.848,43.953,3.24,3.24,1.629,1.493
56,-0.21246,131.14,8.2,0.6,1.04,0.62,3.2,16,9,16,9,2,11,0,1,1,0,0,2,0,7,6,1,0,0,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,2,0,0,1.585,-0.636,32.917,3.24,3.24,1.296,1.924
57,-0.15674,156.15,9.76,0.76,1.03,0.76,3.14,16,12,16,12,6,20,0,1,1,0,0,4,0,4,9,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2.807,-0.727,44.867,64.65,64.65,0.143,0.862
58,-0.19036,170.18,8.96,0.72,1.02,0.74,3.03,19,13,19,13,6,21,0,1,1,0,0,4,0,6,10,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,2.807,-0.748,49.149,64.65,64.65,0.446,1.308
59,-0.1214,174.14,10.88,0.76,1.06,0.76,3.49,16,13,16,13,6,21,0,1,1,0,0,4,0,3,9,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,2.807,-0.673,44.995,64.65,64.65,0.564,0.772
60,-0.12222,192.13,12.01,0.77,1.09,0.76,3.79,16,14,16,14,6,22,0,1,1,0,0,4,0,2,9,2,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,2.807,-0.626,45.123,64.65,64.65,0.982,0.682
61,-0.14576,225.03,14.06,0.84,1.07,0.87,3.23,16,14,16,14,6,22,0,1,1,0,0,4,0,2,9,2,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2.807,-0.626,54.3,64.65,64.65,1.273,1.599
62,-0.20934,212.24,11.17,0.8,1.03,0.84,2.86,19,15,20,16,10,25.5,0.313,2,3,0,0,3,5,4,11,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,5,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,0,0,3,1,0,0,0,0,0,0,0,1,0,3.459,-0.716,58.612,64.65,92.89,0.658,2.016
63,-0.20514,206.21,9.37,0.76,1.01,0.77,2.81,22,16,23,17,11,27,0.353,2,3,0,0,3,6,6,13,2,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,6,4,2,5,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,3.585,-0.795,59.778,64.65,64.65,1.525,2.062
64,-0.21342,220.24,8.81,0.73,1.01,0.75,2.75,25,17,26,18,11,28,0.333,2,3,0,0,3,6,8,14,2,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,6,3,3,5,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,3,5,0,0,0,0,0,0,0,0,0,0,3.585,-0.807,64.819,64.65,64.65,1.788,2.548
65,-0.20368,224.2,10.19,0.76,1.04,0.77,3.1,22,17,23,18,11,28,0.333,2,3,0,0,3,6,5,13,2,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,6,3,3,5,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,1,0,0,0,3.585,-0.75,59.995,64.65,64.65,1.926,2.268
66,-0.18604,242.19,11.01,0.77,1.06,0.77,3.35,22,18,23,19,11,29,0.316,2,3,0,0,3,6,4,13,2,1,0,2,0,2,1,1,0,1,0,0,1,0,0,0,0,0,6,2,4,5,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,2,0,0,0,3.585,-0.709,60.211,64.65,64.65,2.324,2.473
67,-0.18572,275.09,12.5,0.82,1.04,0.85,2.92,22,18,23,19,11,29,0.316,2,3,0,0,3,6,4,13,2,1,0,0,2,2,1,1,0,1,0,0,1,0,0,0,0,0,6,2,4,5,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,3.585,-0.709,69.388,64.65,64.65,2.581,3.391
68,-0.21148,145.17,8.06,0.68,1,0.71,2.47,18,11,19,12,8,17,0.5,2,3,0,0,2,6,7,9,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,6,4,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,3.17,-0.206,42.182,32.86,32.86,1.859,1.297
69,-0.20746,159.2,7.58,0.66,1,0.69,2.39,21,12,22,13,8,18,0.462,2,3,0,0,2,6,9,10,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,6,4,2,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0,1,0,0,9,0,0,0,0,1,0,0,0,0,0,3.17,-0.807,47.079,22,22,2.162,1.503
70,-0.20068,163.16,9.06,0.69,1.03,0.7,2.9,18,12,19,13,8,18,0.462,2,3,0,0,2,6,6,9,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,6,3,3,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,1,0,0,0,3.17,-0.164,42.398,32.86,32.86,2.28,1.502
71,-0.19852,177.19,8.44,0.67,1.02,0.69,2.79,21,13,22,14,8,19,0.429,2,3,0,0,2,6,8,10,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,6,3,3,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,1,2,0,0,0,0,0,1,0,0,8,0,0,0,0,1,0,1,0,0,0,3.17,-0.748,47.295,22,22,2.577,1.708
72,-0.20256,181.15,10.06,0.7,1.06,0.7,3.27,18,13,19,14,8,19,0.429,2,3,0,0,2,6,5,9,1,1,0,2,0,2,1,1,0,1,0,0,1,0,0,0,0,0,6,2,4,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,2,0,0,0,3.17,-0.127,42.615,32.86,32.86,2.698,1.708
73,-0.20066,195.18,9.29,0.67,1.05,0.68,3.14,21,14,22,15,8,20,0.4,2,3,0,0,2,6,7,10,1,1,0,2,0,2,1,1,0,1,0,0,1,0,0,0,0,0,6,2,4,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,1,3,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,2,0,0,0,3.17,-0.696,47.512,22,22,2.99,1.914
74,-0.25666,260.31,8.13,0.7,1,0.73,2.22,32,20,35,23,15,32,0.522,4,6,0,0,3,12,12,17,2,1,0,0,0,0,2,2,0,2,0,0,2,0,0,0,0,0,12,8,4,5,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,8,2,2,0,0,0,0,0,1,0,0,10,0,0,0,0,1,0,0,0,0,0,4,0.262,80.702,48.65,48.65,2.868,2.503
75,-0.24012,288.37,7.59,0.68,0.99,0.71,2.15,38,22,41,25,15,34,0.48,4,6,0,0,3,12,16,19,2,1,0,0,0,0,2,2,0,2,0,0,2,0,0,0,0,0,12,8,4,5,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,8,2,2,0,0,0,0,0,1,0,0,16,0,0,0,0,1,0,0,0,0,0,4,-0.851,89.834,26.93,26.93,3.338,3.062
76,-0.2956,169.24,7.05,0.67,0.98,0.7,1.86,24,13,26,15,11,20.5,0.733,3,7,0,0,0,11,11,12,1,0,0,0,0,0,0,3,0,0,3,1,2,0,0,0,0,0,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3.585,-0.352,54.311,12.03,12.03,2.549,2.03
77,-0.2835,183.27,6.79,0.65,0.98,0.69,1.83,27,14,29,16,11,21.5,0.688,3,7,0,0,0,11,13,13,1,0,0,0,0,0,0,3,0,0,3,1,2,0,0,0,0,0,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3.585,-0.905,59.606,3.24,3.24,2.821,2.566
78,-0.0035,197.2,8.96,0.72,1.02,0.74,2.57,22,15,24,17,13,24.5,0.647,3,7,0,0,2,11,7,12,1,2,0,0,0,0,0,3,0,0,3,1,2,0,0,0,0,0,10,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,2,0,0,6,0,0,0,0,1,0,0,0,0,0,3.807,-0.265,54.769,49.93,49.93,2.411,1.565
79,-0.00264,211.23,8.45,0.7,1.01,0.72,2.5,25,16,27,18,13,25.5,0.611,3,7,0,0,2,11,9,13,1,2,0,0,0,0,0,3,0,0,3,1,2,0,0,0,0,0,10,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,6,4,0,0,0,0,0,0,2,0,0,9,0,0,0,0,1,0,0,0,0,0,3.807,-0.795,59.666,39.07,39.07,2.682,1.771
80,-0.25276,332.27,10.38,0.72,1.06,0.72,3.13,32,24,35,27,15,36,0.444,4,6,0,0,3,12,8,17,2,1,0,4,0,4,2,2,0,2,0,0,2,0,0,0,0,0,12,4,8,5,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,1,0,4,2,6,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,4,0,0,0,4,0.337,81.568,48.65,48.65,4.142,3.325
81,-0.2349,360.33,9.48,0.69,1.05,0.7,3,38,26,41,29,15,38,0.414,4,6,0,0,3,12,12,19,2,1,0,4,0,4,2,2,0,2,0,0,2,0,0,0,0,0,12,4,8,5,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,1,0,4,2,6,0,0,0,0,0,1,0,0,12,0,0,0,0,1,0,4,0,0,0,4,-0.722,90.7,26.93,26.93,4.592,3.884
82,-0.28722,241.2,10.05,0.68,1.07,0.69,3.23,24,17,26,19,11,24.5,0.579,3,7,0,0,0,11,7,12,1,0,0,4,0,4,0,3,0,0,3,1,2,0,0,0,0,0,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,5,0,0,0,2,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,3.585,-0.198,55.176,12.03,12.03,4.157,2.852
83,-0.26886,255.23,9.45,0.67,1.05,0.68,3.13,27,18,29,20,11,25.5,0.55,3,7,0,0,0,11,9,13,1,0,0,4,0,4,0,3,0,0,3,1,2,0,0,0,0,0,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,1,2,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,3.585,-0.709,60.471,3.24,3.24,4.413,3.388
84,-0.00282,233.18,10.6,0.73,1.07,0.73,3.17,22,17,24,19,13,26.5,0.579,3,7,0,0,2,11,5,12,1,2,0,2,0,2,0,3,0,0,3,1,2,0,0,0,0,0,10,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,2,0,0,0,3.807,-0.198,55.202,49.93,49.93,3.218,1.976
85,-0.27766,115.09,10.46,0.67,1.08,0.67,3.54,11,8,11,8,6,11,0.75,1,1,0,0,0,6,3,5,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,2.807,-0.591,24.334,12.89,12.89,1.382,1.09
86,-0.23146,85.04,12.15,0.5,1.2,0.48,5.85,7,5,6,4,0,4,0,0,0,0,0,0,0,2,1,1,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1.769,11.03,26.02,26.02,0.098,1.489
87,-0.02616,95.03,15.84,0.65,1.25,0.6,5.63,6,6,5,5,1,7,0,0,0,0,0,0,0,0,2,1,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.307,12.633,23.79,23.79,0.435,1.133
88,-0.30884,71.14,5.08,0.53,0.97,0.58,1.7,14,5,14,5,0,5,0,1,1,0,0,0,0,9,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0.132,22.234,12.03,12.03,0.408,0.245
89,-0.29444,107.12,7.65,0.54,1.05,0.57,3.45,14,7,14,7,0,7,0,1,1,0,0,0,0,7,4,1,0,0,2,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0.18,21.265,12.03,12.03,0.817,0.461
90,-0.26188,330.4,11.01,0.76,1.03,0.81,2.5,30,22,33,25,21,35.5,0.84,4,5,2,0.061,0,21,8,16,2,0,2,2,0,2,2,2,0,0,1,0,1,0,0,0,0,0,16,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,6,0,2,0,4,2,2,0,0,0,0,6,2,0,0,0,0,2,2,0,2,0,4.459,-0.717,85.08,25.78,82.26,3.709,5.506
