#LB_label,ChargeTransfer,MW,AMW,Mv,Me,Mp,Ms,nAT,nSK,nBT,nBO,nBM,SCBO,ARR,nCIC,nCIR,RBN,RBF,nDB,nAB,nH,nC,nN,nO,nS,nF,nCL,nX,nR05,nR06,nR08,nR09,nR10,nR12,nBnz,nCp,nCs,nCt,nCq,nCrt,nCar,nCbH,nCb-,nCconj,nR=Cp,nR=Cs,nR=Ct,nRCONHR,nRCONR2,nROCON,nRCO,nArCO,nCONN,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nRCN,nN(CO)2,nRSR,nArX,nCXr=,nCconjX,nPyrrolidines,nPyrroles,nThiophenes,nPyridines,nPyrazines,nHDon,nHAcc,C-001,C-002,C-005,C-006,C-008,C-016,C-018,C-019,C-020,C-024,C-025,C-026,C-027,C-028,C-033,C-034,C-035,C-040,C-041,H-046,H-047,H-048,H-049,H-051,H-052,N-072,N-075,F-084,F-085,S-107,S-108,Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,ALOGP
11,-0.2646,154.18,11.86,0.75,1.05,0.8,2.68,13,10,14,11,10,16,0.909,2,3,0,0,0,10,3,6,2,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,1,0,3.459,-0.576,38.795,25.78,54.02,1.526,2.164
12,-0.26272,172.17,13.24,0.76,1.09,0.79,3.14,13,11,14,12,10,17,0.833,2,3,0,0,0,10,2,6,2,0,1,2,0,2,1,1,0,1,0,0,1,0,0,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,1,0,3.459,-0.526,39.011,25.78,54.02,1.968,2.369
13,-0.26378,194.26,13.88,0.83,1.05,0.9,2.19,14,12,16,14,14,21,1,3,6,0,0,0,14,2,6,4,0,2,0,0,0,2,1,0,2,0,1,1,0,0,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,0,3.907,-0.484,51.098,51.56,108.04,0.161,2.086
14,-0.26332,244.32,12.22,0.81,1.03,0.87,2.1,20,16,23,19,19,28.5,1,4,10,0,0,0,19,4,10,4,0,2,0,0,0,2,2,0,2,1,0,2,0,0,0,0,0,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,2,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,2,0,4.322,-0.612,67.548,51.56,108.04,1.306,2.994
15,-0.2986,79.11,7.19,0.65,0.99,0.68,2.17,11,6,11,6,6,9,1,1,1,0,0,0,6,5,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,2.807,-0.767,23.901,12.89,12.89,0.468,0.679
16,-0.27132,97.1,8.83,0.66,1.03,0.68,2.95,11,7,11,7,6,10,0.857,1,1,0,0,0,6,4,5,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,1,0,0,2.807,-0.668,25.132,12.89,12.89,0.929,1.266
17,-0.30354,93.14,6.65,0.63,0.98,0.66,2.1,14,7,14,7,6,10,0.857,1,1,0,0,0,6,7,6,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,3,0,1,3,0,0,1,0,0,0,0,2.807,-0.802,28.493,12.89,12.89,0.846,0.962
18,-0.30406,17.04,4.26,0.4,1,0.44,6,4,1,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.732,2.4,0,0,-2.058,-0.311
19,-0.31126,31.07,4.44,0.46,0.98,0.5,3,7,2,6,1,0,1,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.131,9.919,26.02,26.02,-0.814,-0.648
20,-0.3051,45.1,4.51,0.48,0.98,0.53,2.17,10,3,9,2,0,2,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0.638,14.693,12.03,12.03,-0.172,-0.216
21,-0.2895,59.13,4.55,0.49,0.97,0.54,2,13,4,12,3,0,3,0,0,0,0,0,0,0,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,-0.646,19.988,3.24,3.24,0.347,0.32
