#PDF_File,Minimum_Capacity(mAh),Nomial_Voltage(V),Charge_Voltage(V),Charge_Current(mAh),Dicharge_Voltage(V),Discharge_Current,Cycle,Remaining_Capacity(mAh)
datasheet_12,1460,3.7,4.2,1460,2.75,1460,30.50847458,1356.543624
datasheet_12,1460,3.7,4.2,1460,2.75,1460,36.15819209,1350.671141
datasheet_12,1460,3.7,4.2,1460,2.75,1460,38.98305085,1344.798658
datasheet_12,1460,3.7,4.2,1460,2.75,1460,42.93785311,1338.926174
datasheet_12,1460,3.7,4.2,1460,2.75,1460,49.71751412,1333.053691
datasheet_12,1460,3.7,4.2,1460,2.75,1460,55.93220339,1327.181208
datasheet_12,1460,3.7,4.2,1460,2.75,1460,63.27683616,1321.308725
datasheet_12,1460,3.7,4.2,1460,2.75,1460,73.28490718,1315.436242
datasheet_12,1460,3.7,4.2,1460,2.75,1460,85.87570621,1309.563758
datasheet_12,1460,3.7,4.2,1460,2.75,1460,97.96610169,1303.691275
datasheet_12,1460,3.7,4.2,1460,2.75,1460,116.9491525,1297.818792
datasheet_12,1460,3.7,4.2,1460,2.75,1460,132.2033898,1291.946309
datasheet_12,1460,3.7,4.2,1460,2.75,1460,153.1073446,1286.073826
datasheet_12,1460,3.7,4.2,1460,2.75,1460,180.7909605,1280.201342
datasheet_12,1460,3.7,4.2,1460,2.75,1460,210.1694915,1274.328859
datasheet_12,1460,3.7,4.2,1460,2.75,1460,237.8531073,1268.456376
datasheet_12,1460,3.7,4.2,1460,2.75,1460,270.6214689,1262.583893
datasheet_12,1460,3.7,4.2,1460,2.75,1460,314.1242938,1256.711409
datasheet_12,1460,3.7,4.2,1460,2.75,1460,353.6723164,1250.838926
datasheet_12,1460,3.7,4.2,1460,2.75,1460,393.220339,1244.966443
datasheet_12,1460,3.7,4.2,1460,2.75,1460,420.3389831,1239.09396
datasheet_12,1460,3.7,4.2,1460,2.75,1460,446.8926554,1233.221477
datasheet_12,1460,3.7,4.2,1460,2.75,1460,479.6610169,1227.348993
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,1.063075833,1267.47141
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,1.700921332,1265.565438
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,2.126151665,1256.035578
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,2.551381999,1254.129606
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,2.976612332,1250.317662
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,3.401842665,1246.505718
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,3.827072998,1244.599746
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,4.252303331,1240.787802
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,4.890148831,1236.975858
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,5.52799433,1235.069886
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,5.953224663,1233.163914
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,6.591070163,1231.257942
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,7.441530829,1227.445997
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,8.291991495,1223.634053
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,9.142452162,1221.728081
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,9.780297661,1219.822109
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,10.41814316,1217.916137
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,11.48121899,1214.104193
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,12.75690999,1212.198221
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,13.60737066,1210.292249
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,14.45783133,1208.386277
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,16.15875266,1204.574333
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,17.64705882,1200.762389
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,18.49751949,1198.856417
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,19.13536499,1196.950445
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,20.83628632,1195.044473
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,22.74982282,1191.232529
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,23.81289865,1189.326557
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,25.08858965,1187.420584
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,27.21474132,1185.514612
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,30.61658398,1181.702668
datasheet_31.pdf,1250,3.7,4.2,1250,2.75,1250,34.65627215,1177.890724
