#PDF_File,c,a,f,f_f,Minimum_Capacity(mAh)_f,a_a,f_f,Minimum_Capacity(mAh)_Minimum_Capacity(mAh)_Minimum_Capacity(mAh)_Minimum_Capacity(mAh),Minimum_Capacity(mAh)_a_Minimum_Capacity(mAh)_a,a_f_a_f,a_f_f,a_Minimum_Capacity(mAh)_f,f_Minimum_Capacity(mAh)_Minimum_Capacity(mAh),f_f_f,f_Minimum_Capacity(mAh)_a,f_Minimum_Capacity(mAh)_f,Minimum_Capacity(mAh)_Minimum_Capacity(mAh)_f_f,Minimum_Capacity(mAh)_Minimum_Capacity(mAh)_Minimum_Capacity(mAh)_f,Minimum_Capacity(mAh)_Minimum_Capacity(mAh)_a_f,f_f_Minimum_Capacity(mAh)_a,f_f_Minimum_Capacity(mAh)_f,f_f_a_f,Minimum_Capacity(mAh)_f_a_f
datasheet_20,0.296770218,133.8836152,-1.6600000000000001e-21,2.76e-42,-2.52e-18,17924.82241902167,2.76e-42,5337948160000.0,41413509715.27965,4.9284e-38,3.69518777952e-40,-3.3738671030399997e-16,-3.835264e-15,-4.5816e-63,-3.3781513786600003e-16,4.1832000000000005e-39,6.376704e-36,-5.822208000000001e-12,-5.129088e-13,5.61668542476e-37,-6.9552e-60,-6.1272e-61,5.5944000000000004e-37
datasheet_21,0.136361929,110.5642123,-3.42e-08,1.17e-15,-2.74e-05,12224.44504151947,1.17e-15,409600000000.0,7823644826.572461,1.42884e-11,1.29360128391e-13,-0.0030294594170199,-0.021888,-4.001400000000001e-23,-0.003025036848528,9.3708e-13,7.488e-10,-17.535999999999998,-2.4192,1.034881027128e-10,-3.2058e-20,-4.422599999999999e-21,1.0357199999999999e-10
datasheet_22,0.273364568,67.8478602,-1.39e-25,1.93e-50,-1.39e-22,4603.332133718744,1.93e-50,1000000000000.0,4603332133.718743,8.892489999999998e-47,1.30946370186e-48,-9.4308525678e-21,-1.39e-19,-2.6827e-75,-9.430852567799999e-21,1.9321e-47,1.93e-44,-1.3900000000000002e-16,-9.43e-18,1.30946370186e-45,-2.682700000000001e-72,-1.81999e-73,1.31077e-45
datasheet_24,0.253493688,85.65524687,-1.73e-24,2.99e-48,-1.9900000000000003e-21,7336.821316360644,2.99e-48,1749006250000.0,9702946190.788448,2.1904000000000006e-44,2.5610918814129998e-46,-1.7045394127130005e-19,-2.287925e-18,-5.172699999999999e-72,-1.7041111364699998e-19,3.4427e-45,3.9542749999999995e-42,-2.6317750000000004e-15,-1.9573e-16,2.94525566361e-43,-5.950100000000001e-69,-4.4252e-70,2.9452000000000012e-43
datasheet_25,0.194400488,117.6009609,-1.23e-24,1.51e-48,-1.24e-21,13829.98600460333,1.51e-48,1040604010000.0,14107968721.15787,2.1025000000000006e-44,1.77577450959e-46,-1.4582519151600002e-19,-1.254723e-18,-1.8572999999999998e-72,-1.46095673715e-19,1.5252e-45,1.5403509999999998e-42,-1.2649240000000001e-15,-1.479145e-16,1.7935322545499998e-43,-1.8724e-69,-2.1895e-70,1.798e-43
datasheet_26,0.274194297,125.6033296,-2.96e-27,8.76e-54,-4.0599999999999995e-24,15776.196406606236,8.76e-54,3522753610000.0,29610343052.07859,1.3838399999999998e-49,1.100285167296e-51,-5.099495181759999e-22,-5.5556240000000004e-21,-2.59296e-80,-5.09346622336e-22,1.20176e-50,1.6441643999999998e-47,-7.620214e-18,-6.982068e-19,1.5073906796159997e-48,-3.556559999999999e-77,-3.25872e-78,1.5103199999999998e-48
datasheet_27,0.282485672,24.52817884,-3.65e-07,1.33e-13,-0.0002555,601.6315572070237,1.33e-13,240100000000.0,294799463.10012054,8.010250000000001e-11,3.26224778572e-12,-0.0062669496936199,-0.17885,-4.8544999999999996e-20,-0.00626694969435,9.32575e-11,6.517e-08,-125.195,-4.3855,2.28357345027e-09,-3.39815e-17,-1.1903500000000002e-18,2.286725e-09
datasheet_28,0.281589888,54.28420374,-1.19e-24,1.42e-48,-1.09e-21,2946.7747756858303,1.42e-48,716392960000.0,2494150170.0605803,4.17316e-45,7.70835693108e-47,-5.916978207660001e-20,-1.007216e-18,-1.6897999999999998e-72,-5.943034625360001e-20,1.2971000000000001e-45,1.201888e-42,-9.225760000000002e-16,-5.4677440000000007e-17,7.09168837648e-44,-1.5478000000000003e-69,-9.173199999999999e-71,7.041400000000001e-44
datasheet_29,0.110269132,78.71334584,-1.5e-07,2.25e-14,-0.000135,6195.790813327446,2.25e-14,656100000000.0,5018590559.361967,1.3924e-10,1.7710502814e-12,-0.0106263016884,-0.1215,-3.3750000000000003e-21,-0.0106263016889999,2.025e-11,1.8225e-08,-109.35,-9.558,1.59394525335e-09,-3.0375e-18,-2.655e-19,1.593e-09
datasheet_3,1.608084951,268.0324611,-6.17e-29,3.81e-57,-2.01e-25,71841.400203323,3.81e-57,111566406250000.0,758824789691.1547,2.7225000000000012e-52,1.0212036767909999e-54,-5.387452468110001e-23,-6.5170625e-22,-2.35077e-85,-5.374720926362e-23,1.24017e-53,4.0243125e-50,-2.1230624999999997e-18,-1.7428125000000001e-19,3.318911949666e-51,-7.658099999999998e-82,-6.2865e-83,3.3164999999999997e-51
