#SMILES,BF3_Affinity,nBase,nAromAtom,nAromBond,nAtom,nHeavyAtom,nBridgehead,nH,nC,nN,nO,nS,nP,nF,nCl,nBr,nI,nX,nBonds,nBondsO,nBondsS,nBondsD,nBondsT,nBondsA,nBondsM,nBondsKS,nBondsKD,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,HybRatio,SZ,Sm,Sv,Sse,Spe,Sare,Sp,Si,MZ,Mm,Mv,Mse,Mpe,Mare,Mp,Mi,fragCpx,fMF,nHBAcc,nHBDon,apol,bpol,nRing,n3Ring,n4Ring,n5Ring,n6Ring,n7Ring,nHRing,n5HRing,n6HRing,n7HRing,naRing,n5aRing,n6aRing,naHRing,n5aHRing,n6aHRing,nARing,n3ARing,n4ARing,n5ARing,n6ARing,n7ARing,nAHRing,n5AHRing,n6AHRing,n7AHRing,nFRing,n7FRing,n8FRing,n9FRing,n10FRing,n11FRing,nG12FRing,nFHRing,n8FHRing,n11FHRing,nFARing,n7FARing,n8FARing,n9FARing,n10FARing,n11FARing,nG12FARing,nFAHRing,n8FAHRing,n11FAHRing,nRot,RotRatio,SLogP,SMR,Vabc,MW,AMW
CCOC(=O)C1=CC=C(C=C1)F,61.7,0,6,6,21,12,0,9,9,0,2,0,0,1,0,0,0,1,21,12,14,1,0,6,7,17,4,0,0,1,5,1,2,0,0,0,0.222222222,14.66666667,14.00111591,13.51437798,21.61325564,21.02352941,21.36,13.88750719,23.83485227,0.698412698,0.666719805,0.643541808,1.02920265,1.001120448,1.017142857,0.661309866,1.134992965,12.03,0.285714286,2,0,23.192137,12.745863,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.166666667,2.0024,42.3565,154.0660441,168.0586577,8.002793226
CCOC(=O)C1=CC=C(C=C1)C,63,0,6,6,24,12,0,12,10,0,2,0,0,0,0,0,0,0,24,12,17,1,0,6,7,20,4,0,0,1,4,2,3,0,0,0,0.3,14.66666667,13.67113479,14.68056503,23.98834669,23.05098039,23.36,15.75180599,26.91051002,0.611111111,0.569630616,0.61169021,0.999514445,0.960457516,0.973333333,0.65632525,1.121271251,12.02,0.25,2,0,26.305516,14.642484,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.166666667,2.17172,47.1355,165.2944704,164.0837296,6.836822068
CC1COC(=O)O1,64.19,0,0,0,13,7,0,6,4,0,3,0,0,0,0,0,0,0,13,7,12,1,0,0,1,12,1,0,0,0,0,0,2,1,0,0,0.75,9,8.499625343,7.769880725,13.65549891,13.22352941,13.48,7.836382036,14.87402716,0.692307692,0.653817334,0.597683133,1.050422993,1.01719457,1.036923077,0.602798618,1.144155935,7.03,0.384615385,3,0,13.086758,10.359242,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5417,21.895,89.1181628,102.0316941,7.84859185
CCOC(=O)C1=CC=C(C=C1)OC,64.7,0,6,6,25,13,0,12,10,0,3,0,0,0,0,0,0,0,25,13,18,1,0,6,7,21,4,0,0,1,5,1,2,0,0,0,0.3,16,15.00316377,15.39536414,25.31900947,24.4,24.76,16.23204551,28.1198961,0.64,0.600126551,0.615814565,1.012760379,0.976,0.9904,0.64928182,1.124795844,13.03,0.24,3,0,27.107516,16.378484,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.230769231,1.8719,48.9505,174.0846973,180.0786442,7.20314577
C1COC(=O)O1,66.4,0,0,0,10,6,0,4,3,0,3,0,0,0,0,0,0,0,10,6,9,1,0,0,1,9,1,0,0,0,0,0,2,0,0,0,0.666666667,7.666666667,7.331779202,6.228052921,10.76766205,10.49803922,10.72,6.037827545,11.45873751,0.766666667,0.73317792,0.622805292,1.076766205,1.049803922,1.072,0.603782754,1.145873751,6.03,0.5,3,0,10.083172,8.352828,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1532,17.3,71.82217758,88.01604399,8.801604399
COC(=O)OC,67.63,0,0,0,12,6,0,6,3,0,3,0,0,0,0,0,0,0,11,5,10,1,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0.666666667,8,7.499625343,6.769880725,12.65549891,12.22352941,12.48,6.836382036,13.87402716,0.666666667,0.624968779,0.564156727,1.054624909,1.018627451,1.04,0.569698503,1.15616893,5.03,0,3,0,11.416758,10.359242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3992,19.414,84.17863653,90.03169405,7.502641171
COC=O,69.76,0,0,0,8,4,0,4,2,0,2,0,0,0,0,0,0,0,7,3,6,1,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0.5,5.333333333,4.999750229,4.513253816,8.436999272,8.149019608,8.32,4.557588024,9.249351438,0.666666667,0.624968779,0.564156727,1.054624909,1.018627451,1.04,0.569698503,1.15616893,3.02,0,2,0,7.611172,6.616828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333,-0.2108,13.073,58.09242435,60.02112937,7.502641171
CCOC(=O)OCC,71.03,0,0,0,18,8,0,10,5,0,3,0,0,0,0,0,0,0,17,7,16,1,0,0,1,16,1,0,0,0,0,0,4,0,0,0,0.8,10.66666667,9.835317626,9.853536332,18.43117261,17.6745098,18,10.43349102,20.70460645,0.592592593,0.546406535,0.547418685,1.023954034,0.981917211,1,0.57963839,1.150255914,7.03,0,3,0,17.42393,14.37207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.285714286,1.1794,28.648,118.770607,118.0629942,6.559055232
CCOC=O,71.17,0,0,0,11,5,0,6,3,0,2,0,0,0,0,0,0,0,10,4,9,1,0,0,1,9,1,0,0,0,0,0,2,0,0,0,0.666666667,6.666666667,6.16759637,6.05508162,11.32483613,10.8745098,11.08,6.356142515,12.66464108,0.606060606,0.560690579,0.550461965,1.029530557,0.9885918,1.007272727,0.577831138,1.151331008,4.02,0,2,0,10.614758,8.623242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.1793,17.69,75.38840957,74.03677943,6.730616312
COC(C)=O,72.79,0,0,0,11,5,0,6,3,0,2,0,0,0,0,0,0,0,10,4,9,1,0,0,1,9,1,0,0,1,0,0,1,0,0,0,0.666666667,6.666666667,6.16759637,6.05508162,11.32483613,10.8745098,11.08,6.356142515,12.66464108,0.606060606,0.560690579,0.550461965,1.029530557,0.9885918,1.007272727,0.577831138,1.151331008,4.02,0,2,0,10.614758,8.623242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1793,17.69,75.38840957,74.03677943,6.730616312
