#LB_label,#LA_label,#ID,ChargeTransfer,N#R,R-N(-R)-R,R--N--R,R-N=R,R-NH-R,NH2-R,NH3,O=R,S=R,R-S-R,R--S--R,nN(CO)2,C-041,nH,la_MW,la_AMW,la_Mv,la_Me,la_Mp,la_Ms,la_nAT,la_nSK,la_nBT,la_nBO,la_nBM,la_SCBO,la_ARR,la_RBF,la_nAB,la_nH,la_nC,la_nF,la_nCL,la_nB,la_nHM,la_nX,la_nBnz,la_nHAcc,la_C-026,la_H-050,la_F-084,la_Ui,la_Hy,la_MLOGP,la_LAI
3,1,C7H8N2O2S:AlCl3,-0.10326,0,2,0,0,0,0,0,2,1,0,0,2,1,8,133.33,33.33,1.16,1.1,1.89,3.28,4,4,3,3,0,3,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,1.364,0
3,2,C7H8N2O2S:AlH3,-0.0681,0,2,0,0,0,0,0,2,1,0,0,2,1,8,30.01,7.5,0.63,0.86,1.25,2,4,1,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,-1.041,0
3,3,C7H8N2O2S:C18F15Al,-0.201,0,2,0,0,0,0,0,2,1,0,0,2,1,8,528.16,15.53,0.76,1.19,0.78,4.43,34,34,36,36,18,45,0.5,0.083,18,0,18,15,0,0,1,15,3,15,15,0,15,4.248,-0.525,7.875,1
3,5,C7H8N2O2S:C2H5AlCl2,-0.08494,0,2,0,0,0,0,0,2,1,0,0,2,1,8,126.95,12.7,0.71,0.99,1.02,2.5,10,5,9,4,0,4,0,0,0,5,2,0,2,0,1,2,0,0,0,0,0,0,-0.359,1.817,0
3,6,C7H8N2O2S:BH3,-0.22192,0,2,0,0,0,0,0,2,1,0,0,2,1,8,13.84,3.46,0.42,0.91,0.72,2,4,1,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,-1.041,0
3,7,C7H8N2O2S:BF3,0.00218,0,2,0,0,0,0,0,2,1,0,0,2,1,8,67.81,16.95,0.51,1.3,0.67,6.33,4,4,3,3,0,3,0,0,0,0,0,3,0,1,0,3,0,3,0,0,0,0,0,0.546,0
3,8,C7H8N2O2S:BCl3,-0.0014,0,2,0,0,0,0,0,2,1,0,0,2,1,8,117.16,29.29,0.95,1.16,1.36,3.42,4,4,3,3,0,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,1.364,0
3,11,C7H8N2O2S:BI3,0.01072,0,2,0,0,0,0,0,2,1,0,0,2,1,8,391.51,97.88,1.49,0.97,2.71,1.92,4,4,3,3,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2.604,0
4,1,C10H16N2O2:AlCl3,-0.13576,0,2,0,0,0,0,0,2,0,0,0,0,0,16,133.33,33.33,1.16,1.1,1.89,3.28,4,4,3,3,0,3,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,1.364,0
4,2,C10H16N2O2:AlH3,-0.10774,0,2,0,0,0,0,0,2,0,0,0,0,0,16,30.01,7.5,0.63,0.86,1.25,2,4,1,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,-1.041,0
4,3,C10H16N2O2:C18F15Al,-0.13932,0,2,0,0,0,0,0,2,0,0,0,0,0,16,528.16,15.53,0.76,1.19,0.78,4.43,34,34,36,36,18,45,0.5,0.083,18,0,18,15,0,0,1,15,3,15,15,0,15,4.248,-0.525,7.875,1
4,4,C10H16N2O2:C3H9Al,-0.08454,0,2,0,0,0,0,0,2,0,0,0,0,0,16,72.1,5.55,0.56,0.93,0.79,1.69,13,4,12,3,0,3,0,0,0,9,3,0,0,0,1,0,0,0,0,0,0,0,-0.646,1.364,0
4,5,C10H16N2O2:C2H5AlCl2,-0.12194,0,2,0,0,0,0,0,2,0,0,0,0,0,16,126.95,12.7,0.71,0.99,1.02,2.5,10,5,9,4,0,4,0,0,0,5,2,0,2,0,1,2,0,0,0,0,0,0,-0.359,1.817,0
4,6,C10H16N2O2:BH3,-0.28116,0,2,0,0,0,0,0,2,0,0,0,0,0,16,13.84,3.46,0.42,0.91,0.72,2,4,1,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,-1.041,0
4,7,C10H16N2O2:BF3,-0.21876,0,2,0,0,0,0,0,2,0,0,0,0,0,16,67.81,16.95,0.51,1.3,0.67,6.33,4,4,3,3,0,3,0,0,0,0,0,3,0,1,0,3,0,3,0,0,0,0,0,0.546,0
4,8,C10H16N2O2:BCl3,-0.28102,0,2,0,0,0,0,0,2,0,0,0,0,0,16,117.16,29.29,0.95,1.16,1.36,3.42,4,4,3,3,0,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,1.364,0
4,9,C10H16N2O2:BBr3,-0.27182,0,2,0,0,0,0,0,2,0,0,0,0,0,16,250.51,62.63,1.24,1.09,1.73,2.4,4,4,3,3,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2.026,0
4,10,C10H16N2O2:C18BF15,-0.30786,0,2,0,0,0,0,0,2,0,0,0,0,0,16,511.99,15.06,0.73,1.2,0.72,4.45,34,34,36,36,18,45,0.5,0.083,18,0,18,15,0,1,0,15,3,15,18,0,15,4.248,-0.525,7.875,1
4,11,C10H16N2O2:BI3,-0.23758,0,2,0,0,0,0,0,2,0,0,0,0,0,16,391.51,97.88,1.49,0.97,2.71,1.92,4,4,3,3,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2.604,0
4,12,C10H16N2O2:O2S,-0.07768,0,2,0,0,0,0,0,2,0,0,0,0,0,16,64.07,21.36,0.7,1.24,0.85,5.28,3,3,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.585,0,-2.379,0
5,1,C9H9N3OS:AlCl3,-0.11056,2,1,0,0,0,0,0,1,0,1,0,0,0,9,133.33,33.33,1.16,1.1,1.89,3.28,4,4,3,3,0,3,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,1.364,0
5,2,C9H9N3OS:AlH3,-0.1036,2,1,0,0,0,0,0,1,0,1,0,0,0,9,30.01,7.5,0.63,0.86,1.25,2,4,1,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,-1.041,0
5,3,C9H9N3OS:C18F15Al,-0.11854,2,1,0,0,0,0,0,1,0,1,0,0,0,9,528.16,15.53,0.76,1.19,0.78,4.43,34,34,36,36,18,45,0.5,0.083,18,0,18,15,0,0,1,15,3,15,15,0,15,4.248,-0.525,7.875,1
5,4,C9H9N3OS:C3H9Al,-0.09272,2,1,0,0,0,0,0,1,0,1,0,0,0,9,72.1,5.55,0.56,0.93,0.79,1.69,13,4,12,3,0,3,0,0,0,9,3,0,0,0,1,0,0,0,0,0,0,0,-0.646,1.364,0
5,5,C9H9N3OS:C2H5AlCl2,-0.1039,2,1,0,0,0,0,0,1,0,1,0,0,0,9,126.95,12.7,0.71,0.99,1.02,2.5,10,5,9,4,0,4,0,0,0,5,2,0,2,0,1,2,0,0,0,0,0,0,-0.359,1.817,0
5,6,C9H9N3OS:BH3,-0.28864,2,1,0,0,0,0,0,1,0,1,0,0,0,9,13.84,3.46,0.42,0.91,0.72,2,4,1,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,-1.041,0
5,7,C9H9N3OS:BF3,-0.23164,2,1,0,0,0,0,0,1,0,1,0,0,0,9,67.81,16.95,0.51,1.3,0.67,6.33,4,4,3,3,0,3,0,0,0,0,0,3,0,1,0,3,0,3,0,0,0,0,0,0.546,0
5,8,C9H9N3OS:BCl3,-0.23578,2,1,0,0,0,0,0,1,0,1,0,0,0,9,117.16,29.29,0.95,1.16,1.36,3.42,4,4,3,3,0,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,1.364,0
5,9,C9H9N3OS:BBr3,-0.20826,2,1,0,0,0,0,0,1,0,1,0,0,0,9,250.51,62.63,1.24,1.09,1.73,2.4,4,4,3,3,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2.026,0
5,11,C9H9N3OS:BI3,-0.15244,2,1,0,0,0,0,0,1,0,1,0,0,0,9,391.51,97.88,1.49,0.97,2.71,1.92,4,4,3,3,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2.604,0
6,1,C5H5NO2S:AlCl3,-0.10348,0,1,0,0,0,0,0,2,0,1,0,1,1,5,133.33,33.33,1.16,1.1,1.89,3.28,4,4,3,3,0,3,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,1.364,0
6,2,C5H5NO2S:AlH3,-0.0668,0,1,0,0,0,0,0,2,0,1,0,1,1,5,30.01,7.5,0.63,0.86,1.25,2,4,1,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,-1.041,0
6,3,C5H5NO2S:C18F15Al,-0.09806,0,1,0,0,0,0,0,2,0,1,0,1,1,5,528.16,15.53,0.76,1.19,0.78,4.43,34,34,36,36,18,45,0.5,0.083,18,0,18,15,0,0,1,15,3,15,15,0,15,4.248,-0.525,7.875,1
6,4,C5H5NO2S:C3H9Al,-0.01694,0,1,0,0,0,0,0,2,0,1,0,1,1,5,72.1,5.55,0.56,0.93,0.79,1.69,13,4,12,3,0,3,0,0,0,9,3,0,0,0,1,0,0,0,0,0,0,0,-0.646,1.364,0
6,5,C5H5NO2S:C2H5AlCl2,-0.0772,0,1,0,0,0,0,0,2,0,1,0,1,1,5,126.95,12.7,0.71,0.99,1.02,2.5,10,5,9,4,0,4,0,0,0,5,2,0,2,0,1,2,0,0,0,0,0,0,-0.359,1.817,0
6,6,C5H5NO2S:BH3,-0.21602,0,1,0,0,0,0,0,2,0,1,0,1,1,5,13.84,3.46,0.42,0.91,0.72,2,4,1,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,-1.041,0
6,7,C5H5NO2S:BF3,0.001,0,1,0,0,0,0,0,2,0,1,0,1,1,5,67.81,16.95,0.51,1.3,0.67,6.33,4,4,3,3,0,3,0,0,0,0,0,3,0,1,0,3,0,3,0,0,0,0,0,0.546,0
6,8,C5H5NO2S:BCl3,-0.00338,0,1,0,0,0,0,0,2,0,1,0,1,1,5,117.16,29.29,0.95,1.16,1.36,3.42,4,4,3,3,0,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,1.364,0
