#PDF_File,Minimum_Capacity(mAh),Nomial_Voltage(V),Charge_Voltage(V),Charge_Current(mAh),Dicharge_Voltage(V),Discharge_Current,Cycle,Remaining_Capacity(mAh)
datasheet_13,1520,3.8,4.35,1520,3,1520,315.0684932,1325.102881
datasheet_13,1520,3.8,4.35,1520,3,1520,337.6712329,1317.901235
datasheet_13,1520,3.8,4.35,1520,3,1520,361.6438356,1310.699588
datasheet_13,1520,3.8,4.35,1520,3,1520,380.8219178,1303.497942
datasheet_13,1520,3.8,4.35,1520,3,1520,404.7945205,1296.296296
datasheet_13,1520,3.8,4.35,1520,3,1520,428.7671233,1289.09465
datasheet_13,1520,3.8,4.35,1520,3,1520,448.630137,1281.893004
datasheet_13,1520,3.8,4.35,1520,3,1520,471.2328767,1274.691358
datasheet_13,1520,3.8,4.35,1520,3,1520,494.5205479,1267.489712
datasheet_14,1530,3.7,4.2,1530,2.75,1530,2.819548872,1526.094276
datasheet_14,1530,3.7,4.2,1530,2.75,1530,4.511278195,1520.20202
datasheet_14,1530,3.7,4.2,1530,2.75,1530,5.639097744,1514.309764
datasheet_14,1530,3.7,4.2,1530,2.75,1530,7.330827068,1508.417508
datasheet_14,1530,3.7,4.2,1530,2.75,1530,9.022556391,1502.525253
datasheet_14,1530,3.7,4.2,1530,2.75,1530,10.15037594,1496.632997
datasheet_14,1530,3.7,4.2,1530,2.75,1530,11.84210526,1490.740741
datasheet_14,1530,3.7,4.2,1530,2.75,1530,14.09774436,1484.848485
datasheet_14,1530,3.7,4.2,1530,2.75,1530,15.78947368,1478.956229
datasheet_14,1530,3.7,4.2,1530,2.75,1530,17.48120301,1473.063973
datasheet_14,1530,3.7,4.2,1530,2.75,1530,19.73684211,1467.171717
datasheet_14,1530,3.7,4.2,1530,2.75,1530,21.9924812,1461.279461
datasheet_14,1530,3.7,4.2,1530,2.75,1530,24.81203008,1455.387205
datasheet_14,1530,3.7,4.2,1530,2.75,1530,28.7593985,1449.494949
datasheet_14,1530,3.7,4.2,1530,2.75,1530,32.14285714,1443.602694
datasheet_14,1530,3.7,4.2,1530,2.75,1530,34.39849624,1437.710438
datasheet_14,1530,3.7,4.2,1530,2.75,1530,39.47368421,1431.818182
datasheet_14,1530,3.7,4.2,1530,2.75,1530,43.98496241,1425.925926
datasheet_14,1530,3.7,4.2,1530,2.75,1530,50.7518797,1420.03367
datasheet_14,1530,3.7,4.2,1530,2.75,1530,58.92857143,1414.141414
datasheet_14,1530,3.7,4.2,1530,2.75,1530,67.66917293,1408.249158
datasheet_14,1530,3.7,4.2,1530,2.75,1530,78.94736842,1402.356902
datasheet_14,1530,3.7,4.2,1530,2.75,1530,94.17293233,1396.464646
datasheet_14,1530,3.7,4.2,1530,2.75,1530,112.2180451,1390.572391
datasheet_14,1530,3.7,4.2,1530,2.75,1530,124.6240602,1384.680135
datasheet_14,1530,3.7,4.2,1530,2.75,1530,138.1578947,1378.787879
datasheet_14,1530,3.7,4.2,1530,2.75,1530,152.2556391,1372.895623
datasheet_14,1530,3.7,4.2,1530,2.75,1530,168.0451128,1367.003367
datasheet_14,1530,3.7,4.2,1530,2.75,1530,186.6541353,1361.111111
datasheet_14,1530,3.7,4.2,1530,2.75,1530,204.6992481,1355.218855
datasheet_14,1530,3.7,4.2,1530,2.75,1530,227.2556391,1349.326599
datasheet_14,1530,3.7,4.2,1530,2.75,1530,247.556391,1343.434343
datasheet_14,1530,3.7,4.2,1530,2.75,1530,285.9022556,1337.542088
datasheet_14,1530,3.7,4.2,1530,2.75,1530,311.2781955,1331.649832
datasheet_14,1530,3.7,4.2,1530,2.75,1530,331.5789474,1325.757576
datasheet_14,1530,3.7,4.2,1530,2.75,1530,350.1879699,1319.86532
datasheet_14,1530,3.7,4.2,1530,2.75,1530,367.1052632,1313.973064
datasheet_14,1530,3.7,4.2,1530,2.75,1530,385.1503759,1308.080808
datasheet_14,1530,3.7,4.2,1530,2.75,1530,403.7593985,1302.188552
datasheet_14,1530,3.7,4.2,1530,2.75,1530,425.7518797,1296.296296
datasheet_14,1530,3.7,4.2,1530,2.75,1530,444.924812,1290.40404
datasheet_14,1530,3.7,4.2,1530,2.75,1530,465.2255639,1284.511785
datasheet_14,1530,3.7,4.2,1530,2.75,1530,484.3984962,1278.619529
datasheet_15,1660,3.8,4.35,1660,3,1660,2.251407129,1645.48495
datasheet_15,1660,3.8,4.35,1660,3,1660,3.377110694,1638.795987
datasheet_15,1660,3.8,4.35,1660,3,1660,4.502814259,1632.107023
datasheet_15,1660,3.8,4.35,1660,3,1660,5.628517824,1625.41806
datasheet_15,1660,3.8,4.35,1660,3,1660,7.879924953,1618.729097
datasheet_15,1660,3.8,4.35,1660,3,1660,9.005628518,1612.040134
datasheet_15,1660,3.8,4.35,1660,3,1660,11.25703565,1605.351171
datasheet_15,1660,3.8,4.35,1660,3,1660,12.94559099,1598.662207
datasheet_15,1660,3.8,4.35,1660,3,1660,15.75984991,1591.973244
datasheet_15,1660,3.8,4.35,1660,3,1660,18.57410882,1585.284281
datasheet_15,1660,3.8,4.35,1660,3,1660,20.82551595,1578.595318
datasheet_15,1660,3.8,4.35,1660,3,1660,24.20262664,1571.906355
datasheet_15,1660,3.8,4.35,1660,3,1660,27.57973734,1565.217391
datasheet_15,1660,3.8,4.35,1660,3,1660,30.39399625,1558.528428
datasheet_15,1660,3.8,4.35,1660,3,1660,34.33395872,1551.839465
datasheet_15,1660,3.8,4.35,1660,3,1660,38.2739212,1545.150502
datasheet_15,1660,3.8,4.35,1660,3,1660,42.21388368,1538.461538
datasheet_15,1660,3.8,4.35,1660,3,1660,46.71669794,1531.772575
