#PDF_File,f,Discharge_Current,a,Discharge_Current_Discharge_Current,a_a,Discharge_Current_a,Discharge_Current_Discharge_Current,a_a,Discharge_Current_Discharge_Current_Discharge_Current_Discharge_Current,a_a_a_a,Discharge_Current_a_Discharge_Current_a,Discharge_Current_a,Discharge_Current_Discharge_Current_Discharge_Current,Discharge_Current_a_a,Discharge_Current_Discharge_Current_a,a_Discharge_Current_Discharge_Current,a_a_a,a_Discharge_Current_a,Discharge_Current_Discharge_Current_a_a,Discharge_Current_Discharge_Current_Discharge_Current_a,a_a_Discharge_Current_a
datasheet_37.pdf,-3.48e-08,1.0,151.0,1.0,22801.0,151.0,1.0,22801.0,1.0,519885601.0,22801.0,151.0,1.0,22801.0,151.0,151.0,3442951.0,22801.0,22801.0,151.0,3442951.0
datasheet_38.pdf,-2.68e-20,1.0,0.159006629,1.0,0.025283108065943645,0.159006629,1.0,0.025283108065943645,1.0,0.0006392355534741846,0.025283108065943645,0.159006629,1.0,0.025283108065943645,0.159006629,0.159006629,0.0040201817842084086,0.025283108065943645,0.025283108065943645,0.159006629,0.0040201817842084086
datasheet_39.pdf,-3.33e-30,1.0,39.69111487,1.0,1575.384599623535,39.69111487,1.0,1575.384599623535,1.0,2481836.6367310057,1575.384599623535,39.69111487,1.0,1575.384599623535,39.69111487,39.69111487,62528.77110808669,1575.384599623535,1575.384599623535,39.69111487,62528.77110808669
datasheet_44.pdf,-2e-07,1.0,78.84375503,1.0,6216.33770723065,78.84375503,1.0,6216.33770723065,1.0,38642854.49033762,6216.33770723065,78.84375503,1.0,6216.33770723065,78.84375503,78.84375503,490119.4073726452,6216.33770723065,6216.33770723065,78.84375503,490119.4073726452
datasheet_45.pdf,-4.71e-09,1.0,333.4717907,1.0,111203.43519266459,333.4717907,1.0,111203.43519266459,1.0,12366203998.649153,111203.43519266459,333.4717907,1.0,111203.43519266459,333.4717907,333.4717907,37083208.66568926,111203.43519266459,111203.43519266459,333.4717907,37083208.66568926
datasheet_46.pdf,-1.32e-06,1.0,38.6,1.0,1489.96,38.6,1.0,1489.96,1.0,2219980.8016,1489.96,38.6,1.0,1489.96,38.6,38.6,57512.456000000006,1489.96,1489.96,38.6,57512.456000000006
datasheet_47.pdf,-4e-09,1.0,0.000487,1.0,2.3716900000000002e-07,0.000487,1.0,2.3716900000000002e-07,1.0,5.624913456100001e-14,2.3716900000000002e-07,0.000487,1.0,2.3716900000000002e-07,0.000487,0.000487,1.1550130300000001e-10,2.3716900000000002e-07,2.3716900000000002e-07,0.000487,1.1550130300000001e-10
datasheet_48.pdf,-3.4099999999999998e-40,1.0,23.8500346,1.0,568.8241504211971,23.8500346,1.0,568.8241504211971,1.0,323560.9141023967,568.8241504211971,23.8500346,1.0,568.8241504211971,23.8500346,23.8500346,13566.475668861158,568.8241504211971,568.8241504211971,23.8500346,13566.475668861158
datasheet_49.pdf,-1.11e-06,1.0,196.7137931,1.0,38696.31639578961,196.7137931,1.0,38696.31639578961,1.0,1497404902.6030557,38696.31639578961,196.7137931,1.0,38696.31639578961,196.7137931,196.7137931,7612099.177213496,38696.31639578961,38696.31639578961,196.7137931,7612099.177213496
datasheet_54.pdf,-4.32e-25,1.0,11.2583892,1.0,126.75132737867663,11.2583892,1.0,126.75132737867663,1.0,16065.898992256461,126.75132737867663,11.2583892,1.0,126.75132737867663,11.2583892,11.2583892,1427.0157752457574,126.75132737867663,126.75132737867663,11.2583892,1427.0157752457574
datasheet_57.pdf,-1.48e-06,1.0,146.720064,1.0,21526.7771801641,146.720064,1.0,21526.7771801641,1.0,463402135.7644338,21526.7771801641,146.720064,1.0,21526.7771801641,146.720064,146.720064,3158410.1255874163,21526.7771801641,21526.7771801641,146.720064,3158410.1255874163
datasheet_58.pdf,-1.39e-06,1.0,72.80574677,1.0,5300.676762737366,72.80574677,1.0,5300.676762737366,1.0,28097174.14302388,5300.676762737366,72.80574677,1.0,5300.676762737366,72.80574677,72.80574677,385919.73009748,5300.676762737366,5300.676762737366,72.80574677,385919.73009748
datasheet_59.pdf,-2.23e-06,1.0,89.92764152,1.0,8086.9807093496265,89.92764152,1.0,8086.9807093496265,1.0,65399256.99339299,8086.9807093496265,89.92764152,1.0,8086.9807093496265,89.92764152,89.92764152,727243.1022095485,8086.9807093496265,8086.9807093496265,89.92764152,727243.1022095485
