#LB_label,#LA_label,#ID,ChargeTransfer,la_nB,nO,AMW,nROCON,la_nHM,nPyrroles,la_Mp,la_nH,nR08,H-047,Total_MW,nH,la_Hy,la_Me,nRNH2,C-024,nCconjX
4,10,C10H16N2O2:C18BF15,-0.30786,1,2,6.54,0,0,0,0.72,0,1,8,708.27,16,-0.525,1.2,0,0,0
4,11,C10H16N2O2:BI3,-0.23758,1,2,6.54,0,0,0,2.71,0,1,8,587.79,16,0.0,0.97,0,0,0
4,12,C10H16N2O2:O2S,-0.07768,0,2,6.54,0,0,0,0.85,0,1,8,260.35,16,0.0,1.24,0,0,0
5,1,C9H9N3OS:AlCl3,-0.11056,0,1,9.01,0,1,0,1.89,0,0,7,340.61,9,0.0,1.1,0,0,0
5,2,C9H9N3OS:AlH3,-0.1036,0,1,9.01,0,1,0,1.25,3,0,7,237.29,9,0.0,0.86,0,0,0
5,3,C9H9N3OS:C18F15Al,-0.11854,0,1,9.01,0,1,0,0.78,0,0,7,735.44,9,-0.525,1.19,0,0,0
5,4,C9H9N3OS:C3H9Al,-0.09272,0,1,9.01,0,1,0,0.79,9,0,7,279.38,9,-0.646,0.93,0,0,0
5,5,C9H9N3OS:C2H5AlCl2,-0.1039,0,1,9.01,0,1,0,1.02,5,0,7,334.23,9,-0.359,0.99,0,0,0
5,6,C9H9N3OS:BH3,-0.28864,1,1,9.01,0,0,0,0.72,3,0,7,221.12,9,0.0,0.91,0,0,0
5,7,C9H9N3OS:BF3,-0.23164,1,1,9.01,0,0,0,0.67,0,0,7,275.09,9,0.0,1.3,0,0,0
5,8,C9H9N3OS:BCl3,-0.23578,1,1,9.01,0,0,0,1.36,0,0,7,324.44,9,0.0,1.16,0,0,0
5,9,C9H9N3OS:BBr3,-0.20826,1,1,9.01,0,0,0,1.73,0,0,7,457.79,9,0.0,1.09,0,0,0
5,11,C9H9N3OS:BI3,-0.15244,1,1,9.01,0,0,0,2.71,0,0,7,598.79,9,0.0,0.97,0,0,0
6,1,C5H5NO2S:AlCl3,-0.10348,0,2,10.23,1,1,0,1.89,0,0,5,276.51,5,0.0,1.1,0,0,0
6,2,C5H5NO2S:AlH3,-0.0668,0,2,10.23,1,1,0,1.25,3,0,5,173.19,5,0.0,0.86,0,0,0
6,3,C5H5NO2S:C18F15Al,-0.09806,0,2,10.23,1,1,0,0.78,0,0,5,671.34,5,-0.525,1.19,0,0,0
6,4,C5H5NO2S:C3H9Al,-0.01694,0,2,10.23,1,1,0,0.79,9,0,5,215.28,5,-0.646,0.93,0,0,0
6,5,C5H5NO2S:C2H5AlCl2,-0.0772,0,2,10.23,1,1,0,1.02,5,0,5,270.13,5,-0.359,0.99,0,0,0
6,6,C5H5NO2S:BH3,-0.21602,1,2,10.23,1,0,0,0.72,3,0,5,157.02,5,0.0,0.91,0,0,0
6,7,C5H5NO2S:BF3,0.001,1,2,10.23,1,0,0,0.67,0,0,5,210.99,5,0.0,1.3,0,0,0
6,8,C5H5NO2S:BCl3,-0.00338,1,2,10.23,1,0,0,1.36,0,0,5,260.34,5,0.0,1.16,0,0,0
6,9,C5H5NO2S:BBr3,-0.00204,1,2,10.23,1,0,0,1.73,0,0,5,393.69,5,0.0,1.09,0,0,0
7,1,C5H5NOS2:AlCl3,-0.10176,0,1,11.38,1,1,0,1.89,0,0,5,292.58,5,0.0,1.1,0,0,0
7,2,C5H5NOS2:AlH3,-0.05672,0,1,11.38,1,1,0,1.25,3,0,5,189.26,5,0.0,0.86,0,0,0
7,3,C5H5NOS2:C18F15Al,-0.09608,0,1,11.38,1,1,0,0.78,0,0,5,687.41,5,-0.525,1.19,0,0,0
7,4,C5H5NOS2:C3H9Al,-0.00936,0,1,11.38,1,1,0,0.79,9,0,5,231.35,5,-0.646,0.93,0,0,0
7,5,C5H5NOS2:C2H5AlCl2,-0.07284,0,1,11.38,1,1,0,1.02,5,0,5,286.2,5,-0.359,0.99,0,0,0
7,6,C5H5NOS2:BH3,-0.1985,1,1,11.38,1,0,0,0.72,3,0,5,173.09,5,0.0,0.91,0,0,0
7,7,C5H5NOS2:BF3,0.00168,1,1,11.38,1,0,0,0.67,0,0,5,227.06,5,0.0,1.3,0,0,0
7,8,C5H5NOS2:BCl3,-0.00552,1,1,11.38,1,0,0,1.36,0,0,5,276.41,5,0.0,1.16,0,0,0
7,9,C5H5NOS2:BBr3,-0.00546,1,1,11.38,1,0,0,1.73,0,0,5,409.76,5,0.0,1.09,0,0,0
8,1,C5H3N3S:AlCl3,-0.1511,0,0,11.43,0,1,0,1.89,0,0,1,270.51,3,0.0,1.1,0,1,0
8,2,C5H3N3S:AlH3,-0.13718,0,0,11.43,0,1,0,1.25,3,0,1,167.19,3,0.0,0.86,0,1,0
8,3,C5H3N3S:C18F15Al,-0.16052,0,0,11.43,0,1,0,0.78,0,0,1,665.34,3,-0.525,1.19,0,1,0
8,4,C5H3N3S:C3H9Al,-0.12624,0,0,11.43,0,1,0,0.79,9,0,1,209.28,3,-0.646,0.93,0,1,0
8,5,C5H3N3S:C2H5AlCl2,-0.14268,0,0,11.43,0,1,0,1.02,5,0,1,264.13,3,-0.359,0.99,0,1,0
8,6,C5H3N3S:BH3,-0.2971,1,0,11.43,0,0,0,0.72,3,0,1,151.02,3,0.0,0.91,0,1,0
